Name,Grade,InFinland,Crag,ApproximateCoordinates,Coordinates,Url27crags,UrlVideo,UrlStory
360 Kickflip,6A,Yes,Djupviksgrottorna,No,"60.401326,19.831392",https://27crags.com/crags/grottan/routes/360-kickflip,https://www.youtube.com/watch?v=6S36foeNYRg,
Alcoholocaust,7B,Yes,Uusi Sipoo,No,"60.311802,25.249057",https://27crags.com/crags/uusi-sipoo/routes/alcoholocaust,https://vimeo.com/188887588,
Analstacia,7A+,Yes,Rokokallio,No,"60.484207,24.476166",https://27crags.com/crags/rokokallio/routes/analstacia,https://www.youtube.com/watch?v=w7MLCVyLTbk,
Baby Voodoo,6A+,Yes,Djupviksgrottorna,No,"60.397900,19.830299",https://27crags.com/crags/grottan/routes/baby-voodoo,https://www.youtube.com/watch?v=lQPEqkZpH6c,
Bitch slap and male pinch,6C,Yes,Itäinen Runsori,No,"63.042414,21.798677",https://27crags.com/crags/itainen-runsori/routes/bitch-slap-and-a-male-pinch,https://vimeo.com/106694182#t=1m44s,
Blackstreak Boys,7B,Yes,,Yes,"61.688727,27.272146",https://27crags.com/crags/hyttysjontka/routes/blackstreak-boys,,
Block Work,7A,Yes,Lappnor,No,"60.418968,26.122098",https://27crags.com/crags/lappnor/routes/block-work,https://vimeo.com/182411635#t=2m7s,
Ceasar,7C,Yes,Knummi,No,"60.119630,24.446958",https://27crags.com/crags/knummi/routes/ceasar,,
Comfort Zone,7A,Yes,Palkkivehmas,No,"61.033364,24.109727",https://27crags.com/crags/palkkivehmas/routes/comfort-zone-10460,https://vimeo.com/162333525,
Dodo,8A+,Yes,Kasviken,No,"60.369992,19.930804",https://27crags.com/crags/kasviken/routes/dodo,https://vimeo.com/11516626,
Dynamo,6C+,Yes,Haukilahti,No,"60.160404,24.764034",https://27crags.com/crags/haukilahti/routes/dynamo-9563,https://vimeo.com/157097975#t=4m20s,
Elekantti,7A,Yes,Raisio,No,"60.509822,22.160110",https://27crags.com/crags/raisio/routes/elekantti,https://www.youtube.com/watch?v=Ehz8YPsFeuc,
Elevation,6A+,Yes,Melaniemi,No,"63.079358,21.697266",https://27crags.com/crags/melaniemi/routes/elevation-129341,,
Elämä on pyyttonia,7B,Yes,Luohua,No,"64.502098,25.227200",https://27crags.com/crags/luohua/routes/elama-on-pyyttonia,,
Endless hangover,7B,Yes,,Yes,"60.169856,24.938379",https://27crags.com/crags/myllis/routes/endless-hangover,,
Enkeli,6B+,Yes,Haukilahti,No,"60.160404,24.764034",https://27crags.com/crags/haukilahti/routes/enkeli,https://vimeo.com/107602803,
Even Angel Will Fall,7A,Yes,Vuorisenpuro,No,"62.711708,27.346773",https://27crags.com/crags/vuorisenlahti/routes/even-angel-will-fall,https://vimeo.com/128850471,
Fault zone,6A,Yes,Kurttila,No,"60.174466,24.614375",https://27crags.com/crags/kurttila/routes/fault-zone,,
Feel so good to be afraid,6B+,Yes,Horha,No,"61.438844,23.379366",https://27crags.com/crags/horha/routes/vekun-proj,,
Fiilistelyn kulminaatio,7B,Yes,Ukkokivi,No,"61.439875,25.710722",https://27crags.com/crags/ukkokivi/routes/fiilistelyn-kuliminaatio,https://vimeo.com/133020771,
Finger to the bone,7B+,Yes,Halikallio,No,"61.494922,23.503940",https://27crags.com/crags/halikallio/routes/finger-to-the-bone,,
Folkhälsan,7B+,Yes,Lappnor,No,"60.413287,26.111906",https://27crags.com/crags/lappnor/routes/folkhalsan,https://vimeo.com/73079510,
Foot of the Mountain,6A+,Yes,P. vuori,No,"61.518575,23.074971",https://27crags.com/crags/p-vuori/routes/foot-of-the-mountain,,
Forte risoluto,8A,Yes,Forte,No,"62.110600,25.776300",https://27crags.com/crags/forte/routes/forte-risoluto,https://vimeo.com/15729319,
Furiosa,6B,Yes,Satulakorpi,No,"60.660733,24.701900",https://27crags.com/crags/satulakorpi/routes/furiosa,,
George,7A,Yes,Karhun lenkki,No,"61.528741,23.500234",https://27crags.com/crags/k-lenkki/routes/george-155706,,
Gipsy grooves,8A,Yes,Luolavuori,No,"60.430259,22.284683",https://27crags.com/crags/luolavuori-433/routes/gipsy-grooves,https://www.youtube.com/watch?v=snksRtwx-ug,
Gordon Gekko,6C+,Yes,El Gordon,No,"60.311624,25.445297",https://27crags.com/crags/el-gordon/routes/gordon-gekko,https://www.youtube.com/watch?v=X5WauFqm1ns,
Grand Slam,7A,Yes,Pinsiö,No,"61.527882,23.430898",https://27crags.com/crags/pinsio/routes/grand-slam,https://vimeo.com/127707483,
Hallonpingvin,6C,Yes,Djupviksgrottorna,No,"60.399831,19.830601",https://27crags.com/crags/grottan/routes/nameless-problem-2-373,https://www.youtube.com/watch?v=PW17ZrZOVLQ,
Hammas RIP,6C,Yes,Djupviksgrottorna,No,"60.399831,19.830601",https://27crags.com/crags/grottan/routes/hammas-rip,https://www.youtube.com/watch?v=21XzJaHmyT8,
Hammaspeikko assis,7B,Yes,Hammaspeikko,No,"61.521672,23.382158",https://27crags.com/crags/hammaspeikko/routes/hammaspeikko-28879,https://www.youtube.com/watch?v=nOsEKD0JCvM,
Hammertime,7A,Yes,Kellarikivi,No,"61.321080,22.919884",https://27crags.com/crags/kellarikivi/routes/hammertime-205401,https://www.youtube.com/watch?v=i1daG78Y4TE,
Happy Up Here,7B+,Yes,Nikuby,No,"60.290576,25.536644",https://27crags.com/crags/nikuby/routes/happy-up-here,https://www.youtube.com/watch?v=cJ7YkA8B0YE,
Haukkis-traverse,7A,Yes,Kärsämäki,No,"60.493720,22.285883",https://27crags.com/crags/karsamaki/routes/haukkis-traverse,,
Herkules,7B+,Yes,Herkules,No,"62.100899,25.774500",https://27crags.com/crags/herkules/routes/herkules,https://vimeo.com/53035588,
Heureka,7A+,Yes,Kiekkukivi,No,"61.092199,23.978477",https://27crags.com/crags/kiekkukivi/routes/heureka-145886,,
Highlander,7C+,Yes,Pirunkivet,No,"61.383271,23.835086",https://27crags.com/crags/pirunkivet/routes/overlord-205316,https://vimeo.com/217208186,
Highlight assis,7A,Yes,Toramo,No,"66.469111,25.855409",https://27crags.com/crags/toramo/routes/highlight-assis,,
Hirviö,7C,Yes,KarjuRocks,No,"60.696597,21.517678",https://27crags.com/crags/karju-rocks/routes/hirvio,,
Hottentotti,8A,Yes,,Yes,"60.169856,24.938379",https://27crags.com/crags/myllis/routes/hottentotti,https://www.youtube.com/watch?v=bmcW3HWqjhc,
Huhu,7A+,Yes,Muurame,No,"62.111321,25.712383",https://27crags.com/crags/muurame/routes/huhu,https://vimeo.com/98915641,
Humpuukitalous,7A,Yes,Luohua,No,"64.502098,25.227200",https://27crags.com/crags/luohua/routes/humpuukitalous,https://vimeo.com/33539803#t=13m22s,
Hyvä!,6B+,Yes,Djupviksgrottorna,No,"60.398158,19.830765",https://27crags.com/crags/grottan/routes/hyva,,
Idaho,5,Yes,Piilolampi,No,"60.635153,24.738604",https://27crags.com/crags/piilolampi-hyvinkaa/routes/idaho,,
Ilmahässäkkä,7A+,Yes,Sarvivuori,No,"62.184973,25.741690",https://27crags.com/crags/sarvivuori/routes/ilmahassakka,https://vimeo.com/66669681,
Isak,7A+,Yes,Luohua,No,"64.502098,25.227200",https://27crags.com/crags/luohua/routes/isak,https://vimeo.com/182143508,
Isildur assis,7C+,Yes,,Yes,"60.169856,24.938379",https://27crags.com/crags/sipoo/routes/isildur-assis,https://vimeo.com/144234219,
Jotain dullattavaa,6B,Yes,Djupviksgrottorna,No,"60.399542,19.830805",https://27crags.com/crags/grottan/routes/jotain-dullattavaa,https://vimeo.com/43574383#t=5m50s,
Jäätävä polte,8A,Yes,Noormarkku,No,"61.622800,21.851335",https://27crags.com/crags/noormarkku/routes/jaatava-polte,https://www.youtube.com/watch?v=8HXh8f1dkb4,
Kahvojen ketju,7B+,Yes,,Yes,"60.451813,22.266630",,,
Kaljala,6A+,Yes,Taljala,No,"61.076313,24.034807",https://27crags.com/crags/taljala/routes/kaljala,https://www.youtube.com/watch?v=ZUyth-IXZX4,
Kasvihuoneilmiö,7A,Yes,Luolavuori,No,"60.430259,22.284926",https://27crags.com/crags/luolavuori-433/routes/kasvihuoneilmio,https://vimeo.com/40442515#t=1m7s,
King of Dogs,7B+,Yes,Meilahti,No,"60.186523,24.903791",https://27crags.com/crags/meilahti/routes/king-of-dogs,,
King's goodbye,6C,Yes,Jussarö,No,"59.820316,23.575201",https://27crags.com/crags/jussaro/routes/king-s-goodbye,,
"Kolmen Tähden Isä , ss",7C+,Yes,Sairinen,No,"60.763520,21.691110",https://27crags.com/crags/sairinen/routes/project-father-of-three-stars-sitstart,https://vimeo.com/220638455,
Kompressöör,7C,Yes,Uusi Sipoo,No,"60.314634,25.243150",https://27crags.com/crags/uusi-sipoo/routes/kompressoor,https://www.youtube.com/watch?v=GpKmlCoPpr8,
Kompressöör stand,7B+,Yes,Uusi Sipoo,No,"60.314634,25.243150",https://27crags.com/crags/uusi-sipoo/routes/kompressoor-stand,https://vimeo.com/163721285,
Koulupinnari,6B,Yes,Herttua,No,"60.219847,24.969410",https://27crags.com/crags/herttua/routes/koulupinnari,https://www.youtube.com/watch?v=D_SbdzZVGxI,
Kristallisydän,6B+,Yes,Uusi Sipoo,No,"60.311802,25.249057",https://27crags.com/crags/uusi-sipoo/routes/kristallisydan,https://www.youtube.com/watch?v=hl0ykcPIxyU,
Kukkakeppi,6A,Yes,E75,No,"61.054635,25.860357",https://27crags.com/crags/e75/routes/kukkakeppi,https://www.youtube.com/watch?v=p8-35oDOMSs,
Kummitusjuna assis,7B+,Yes,Kylmälampi,No,"61.287319,26.446643",https://27crags.com/crags/kylmalampi/routes/kummitusjuna-assis,https://www.youtube.com/watch?v=o3CCsczyShA,
Kun Jari koskee,7A,Yes,Uusi Sipoo,No,"60.311802,25.249057",https://27crags.com/crags/uusi-sipoo/routes/kun-jari-koskee,https://www.youtube.com/watch?v=wSGGKyzgbIc,
Käärmeen käyrä,6C,Yes,Jolkby,No,"60.134678,24.471638",https://27crags.com/crags/jolkby-kirkkonummi/routes/kaarmeen-kayra,,
Laskuvarjojääkäri,6A,Yes,Riistavuori,No,"60.219101,24.888500",https://27crags.com/crags/riistavuori/routes/laskuvarjojaakari,,
Le' slouper,7A,Yes,Lystinmäki boulders,No,"60.177204,24.742992",https://27crags.com/crags/lystinmaki-boulders/routes/le-slouper,,
Left october,7C+,Yes,Pirunpesä,No,"60.500301,22.279900",https://27crags.com/crags/pirunpesa/routes/left-october,https://vimeo.com/253535392#t=7m49s,
Lemmen jättiläinen,6A+,Yes,Ihastjärvi,No,"61.723090,27.275791",https://27crags.com/crags/ihastjarvi/routes/lemmen-jattilainen,https://vimeo.com/183131099,
Lippatraverse,7A+,Yes,E75,No,"61.054485,25.859950",https://27crags.com/crags/e75/routes/lippatraverse,https://vimeo.com/95647109,
Live like Makkonen,7B,Yes,,Yes,"60.982675,25.661210",https://27crags.com/crags/lantinen/routes/live-like-makkonen,https://www.youtube.com/watch?v=9L_9L_FaY6Y&t=16m49s,
Livin' acro,7A,Yes,Piilolampi,No,"60.631684,24.740303",https://27crags.com/crags/piilolampi-hyvinkaa/routes/livin-acro,https://www.youtube.com/watch?v=nqzHVS8H1Nw,
Living the Dream,8B+,Yes,Fågelberget,No,"60.409801,19.835300",https://27crags.com/crags/fagelberget/routes/living-the-dream,,
Lobotomy wall,6B,Yes,Meilahti,No,"60.187698,24.897200",https://27crags.com/crags/meilahti/routes/lobotomy-wall,https://vimeo.com/78863562,
Localist,8A,Yes,,Yes,"61.688727,27.272146",https://27crags.com/crags/puumala/routes/localist,https://vimeo.com/61967285,
Long Joe,5,Yes,Fågelberget,No,"60.416398,19.837822",https://27crags.com/crags/fagelberget/routes/long-joe,,
Long Joen viereinen traverse,?,Yes,Fågelberget,No,"60.416398,19.837822",,,
Long running funk,8A,Yes,,Yes,"61.688727,27.272146",https://27crags.com/crags/roof-x/routes/long-running-funk,https://vimeo.com/224514202,
Lorién,7A,Yes,Lorién,No,"63.070804,21.574788",https://27crags.com/crags/lorien/routes/lorien,https://vimeo.com/164969419,
Mahjongg,8A,Yes,Nunnanlahti,No,"63.136792,29.457135",https://27crags.com/crags/nunnanlahti/routes/mahjongg,https://www.youtube.com/watch?v=DTETTLXqvA4&t=2m0s,
Maitomies,7A,Yes,Hiidenkirnut,No,"66.403043,25.450344",https://27crags.com/crags/hiidenkirnut/routes/maitomies,,
Martikainen,6C+,Yes,Djupviksgrottorna,No,"60.401355,19.831726",https://27crags.com/crags/grottan/routes/martikainen,https://vimeo.com/43574383#t=8m55s,
Martinin poikkari,7B+,Yes,Koivusaari,No,"60.161499,24.847601",https://27crags.com/crags/koivusaari-bloc/routes/martinin-poikkari,https://vimeo.com/163728578,
Melankolia ss,7C,Yes,Mellunmäki boulders,No,"60.239168,25.124454",https://27crags.com/crags/mellunmaki-boulders/routes/melankolia-ss,https://vimeo.com/91110827#t=5m20s,
Millyways,8A,Yes,Nousiainen,No,"60.629997,22.013812",https://27crags.com/crags/nousiainen/routes/millyways,https://vimeo.com/234651442,
Muistipeli,7A,Yes,Tampereen hienoin kivi,No,"61.503895,23.212459",https://27crags.com/crags/tampereen-hienoin-kivi/routes/muistipeli,,
Mumbo,6A,Yes,Koivusaari,No,"60.161499,24.847601",https://27crags.com/crags/koivusaari-bloc/routes/mumbo,https://vimeo.com/132431335,
On se kova,7C+,Yes,,Yes,"60.992879,24.459024",https://27crags.com/crags/hameenlinna/routes/on-se-kova,https://www.youtube.com/watch?v=YJwPHC4Kdww,
One love,7C+,Yes,,Yes,"60.169856,24.938379",https://27crags.com/crags/sipoo/routes/one-love,https://www.youtube.com/watch?v=sA-M_m66JSI&t=2m57s,
Painajainen,7C,Yes,Killeri,No,"61.505317,23.355541",https://27crags.com/crags/killerin-kivet-pinsio/routes/painajainen-66031,https://www.youtube.com/watch?v=2qc4Ubtt1DM,
Paskapäivä,8A,Yes,Djupviksgrottorna,No,"60.399078,19.830894",https://27crags.com/crags/grottan/routes/paskapaiva,https://www.youtube.com/watch?v=TpqVKdx6A2A,
Peilipeli,6C+,Yes,Mellunmäki boulders,No,"60.239735,25.124441",https://27crags.com/crags/mellunmaki-boulders/routes/peilipeli,https://vimeo.com/28893393,
Pervertti,7C,Yes,,Yes,"60.169856,24.938379",https://27crags.com/crags/rodjan-12569/routes/pervertti-200583,,
Pimp my ride,7B+,Yes,Martti Servo,No,"66.384686,25.472145",https://27crags.com/crags/martti-servo/routes/pimp-my-ride,https://vimeo.com/79616961,
Pot smoker,7A,Yes,,Yes,"60.169856,24.938379",https://27crags.com/crags/myllis/routes/pot-smoker,https://vimeo.com/45508613,
Puerto Rico,6C,Yes,Fågelberget,No,"60.413026,19.835325",https://27crags.com/crags/fagelberget/routes/puerto-rico,https://vimeo.com/74195080,
Red October,7C,Yes,Pirunpesä,No,"60.500301,22.279900",https://27crags.com/crags/pirunpesa/routes/red-october,https://vimeo.com/253535392#t=6m51s,
Reloaded assis,7C+,Yes,,Yes,"60.169856,24.938379",https://27crags.com/crags/sipoo/routes/reloaded-assis,https://vimeo.com/259124076#t=3m24s,
Roadblock,7A,Yes,Road Block,No,"61.585436,27.801987",https://27crags.com/crags/road-block/routes/roadblock,https://vimeo.com/183653495,
Royal Tawastbaum,6C+,Yes,Peltosaari,No,"60.485333,25.891991",https://27crags.com/crags/peltosaari/routes/royal-tawastbaum,https://vimeo.com/239307639,
Ruoska,7A,Yes,Tahmela boulder park,No,"61.496876,23.710682",https://27crags.com/crags/tahmela-boulder-park/routes/ruoska-10567,https://vimeo.com/109491102,
Saturday night fever,7B,Yes,Soukka,No,"60.129404,24.680926",https://27crags.com/crags/soukka/routes/saturday-night-fever,https://vimeo.com/120869236#t=4m2s,
Savon Partage,7C,Yes,Viitaniemi,No,"62.904301,27.502100",https://27crags.com/crags/viitaniemi/routes/savon-partage,https://vimeo.com/210473135,
Sirkus,7C+,Yes,Hautuumaa,No,"63.066181,21.728250",https://27crags.com/crags/hautuumaa/routes/sirkus,https://vimeo.com/55008969,
Sithin Kosto,7B,Yes,Korpi,No,"61.856602,28.608601",https://27crags.com/crags/korpi/routes/sithin-kosto,https://vimeo.com/15670588,
Sittis ss,7A+,Yes,Mellunmäki boulders,No,"60.239735,25.124441",https://27crags.com/crags/mellunmaki-boulders/routes/sittis-ss,https://www.youtube.com/watch?v=uzEx9bT6czg,
Slummin linja,?,Yes,,Yes,"60.982675,25.661210",,https://www.youtube.com/watch?v=imDwCeslq5Q&t=1m40s,
Släbi,6A,Yes,Eskelinmäki,No,"62.669750,27.471097",https://27crags.com/crags/eskelinmaki/routes/slabi-150683,,
Soturiprinsessa,6B,Yes,Piilolampi,No,"60.639745,24.728126",https://27crags.com/crags/piilolampi-hyvinkaa/routes/soturiprinsessa,,
Suomalaista muotoilua,6B+,Yes,Martti Servo,No,"66.384686,25.472145",https://27crags.com/crags/martti-servo/routes/suomalaista-muotoilua,https://www.youtube.com/watch?v=poL9ZGYIMGU,
Supermartikainen,7C,Yes,Djupviksgrottorna,No,"60.401355,19.831726",https://27crags.com/crags/grottan/routes/supermartikainen,https://vimeo.com/178237446,
Supermartikainen SS,7C+,Yes,Djupviksgrottorna,No,"60.401355,19.831726",https://27crags.com/crags/grottan/routes/supermartikainen-ss,https://vimeo.com/79000280,
Sündenfall,7B+,No,Magic Wood,No,"46.563668,9.436988",https://27crags.com/crags/magic-wood/routes/sundenfall,https://vimeo.com/74047628#t=0m20s,
Taivaanvartijat,6C,Yes,Taivaskallio,No,"60.218591,24.954216",https://27crags.com/crags/taivaskallio/routes/taivaanvartijat,,
Tampereen Pyrintö,7A+,Yes,Tampereen hienoin kivi,No,"61.503895,23.212459",https://27crags.com/crags/tampereen-hienoin-kivi/routes/tampereen-pyrinto,https://www.youtube.com/watch?v=fp8z-AUfCQc&t=20s,
Teräsmies,7A,Yes,Mellunmäki boulders,No,"60.239324,25.123883",https://27crags.com/crags/mellunmaki-boulders/routes/terasmies,https://vimeo.com/28849809,
The Globalist,8B+,Yes,,Yes,"60.169856,24.938379",https://27crags.com/crags/sipoo/routes/the-globalist,https://vimeo.com/165581098#t=7m8s,
The Three Pygmyteers,7A+,Yes,Meilahti,No,"60.187723,24.893850",https://27crags.com/crags/meilahti/routes/the-three-pygmyteers,https://vimeo.com/136005756,
Timantit ovat ikuisia,8A,Yes,Pinsiö Ykkönen (Korpijärvi),No,"61.533736,23.490055",https://27crags.com/crags/pinsio-ykkonen-korpijarvi/routes/timantit-ovat-ikuisia,https://vimeo.com/129207500,
Turku Modern,6C,Yes,Luolavuori,No,"60.431160,22.281605",https://27crags.com/crags/luolavuori-433/routes/turku-modern,,
Tyhjä sielu,7B,Yes,Suunnistaja,No,"60.301108,25.174015",https://27crags.com/crags/suunnistaja/routes/tyhja-sielu-22850,https://www.youtube.com/watch?v=URjsHkflyt8&t=16m4s,
Uberhänk,7B,Yes,Hautuumaa,No,"63.063999,21.730200",https://27crags.com/crags/hautuumaa/routes/uberhank,https://vimeo.com/26774987#t=1m54s,
Undertaker,6B,Yes,Taljala,No,"61.072757,24.024911",https://27crags.com/crags/taljala/routes/undertaker-133838,https://www.youtube.com/watch?v=8S9oiNL1RZY,
Valaskala,6B+,Yes,Taivaskallio,No,"60.219682,24.951515",https://27crags.com/crags/taivaskallio/routes/valaskala,https://vimeo.com/28776665,
Vanhuuteen ja Takaisin,7A,Yes,Västerby,No,"63.827433,22.703574",https://27crags.com/crags/bjoholmen/routes/vanhuuteen-ja-takaisin,,
Veenus,7B,Yes,Hautuumaa,No,"63.068024,21.738032",https://27crags.com/crags/hautuumaa/routes/veenus,https://vimeo.com/70270370,
Viimeinen Tuuttikuski,7C,Yes,Martti Servo,No,"66.384686,25.472145",https://27crags.com/crags/martti-servo/routes/viimeinen-tuuttikuski,,
Voodoo,7A,Yes,Djupviksgrottorna,No,"60.397900,19.830299",https://27crags.com/crags/grottan/routes/voodoo,https://vimeo.com/29114960#t=41s,
"Vuoden släbi ""two pitches""",7B,Yes,Viitaniemi,No,"62.904301,27.502100",https://27crags.com/crags/viitaniemi/routes/vuoden-slabi-two-pitches,https://vimeo.com/49607462#t=30s,
Witness the fatness,7B+,Yes,Ritvala,No,"61.197040,24.232664",https://27crags.com/crags/ritvala/routes/witness-the-fatness,https://vimeo.com/169807102,
World of Rivers,7A,Yes,Haluna,No,"63.098778,28.020850",https://27crags.com/crags/haluna/routes/world-of-rivers,,
Ylityö,7B,Yes,Itäinen Runsori,No,"63.059121,21.775114",https://27crags.com/crags/itainen-runsori/routes/ylityo,https://vimeo.com/74019157,